Beach,Image,Results,Seal Conf Lvl,Clump Conf Lvl,Overlap,Clump Threshold,Ground Truth,Median Prop Diff
LN,DJI_0783,29.32,32,34,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,34,20,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,20,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,34,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,34,20,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,20,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,34,20,5,9,2.035555555555556
LN,DJI_0783,27.32,40,34,20,6,9,2.035555555555556
LN,DJI_0783,29.32,30,36,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,30,36,20,6,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,20,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,20,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,36,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,36,20,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,20,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,36,20,5,9,2.035555555555556
LN,DJI_0783,27.32,40,36,20,6,9,2.035555555555556
LN,DJI_0783,11.0,30,38,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,38,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,20,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,38,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,38,20,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,20,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,38,20,5,9,0.0
LN,DJI_0783,9.0,40,38,20,6,9,0.0
LN,DJI_0783,11.0,30,40,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,40,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,20,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,40,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,40,20,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,20,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,40,20,5,9,0.0
LN,DJI_0783,9.0,40,40,20,6,9,0.0
LN,DJI_0783,31.34,30,30,21,5,9,2.482222222222222
LN,DJI_0783,53.68,30,30,21,6,9,4.964444444444444
LN,DJI_0783,31.34,32,30,21,5,9,2.482222222222222
LN,DJI_0783,53.68,32,30,21,6,9,4.964444444444444
LN,DJI_0783,31.34,34,30,21,5,9,2.482222222222222
LN,DJI_0783,53.68,34,30,21,6,9,4.964444444444444
LN,DJI_0783,30.34,36,30,21,5,9,2.371111111111111
LN,DJI_0783,52.68,36,30,21,6,9,4.8533333333333335
LN,DJI_0783,30.34,38,30,21,5,9,2.371111111111111
LN,DJI_0783,52.68,38,30,21,6,9,4.8533333333333335
LN,DJI_0783,29.34,40,30,21,5,9,2.26
